,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
0,2017-01-01,3195,"MADRID, RETIRO",MADRID,667,"1,7","0,0","-0,6",05:30,"4,0",Varias,04,"0,0","3,3",01:20,"951,8",00,"944,8",24,78,90,Varias,72,06:50
1,2017-01-02,3195,"MADRID, RETIRO",MADRID,667,"2,7","0,0","-0,8",01:40,"6,2",15:30,04,"0,8","4,4",10:50,"945,5",24,"943,6",06,76,92,00:30,67,14:30
2,2017-01-03,3195,"MADRID, RETIRO",MADRID,667,"6,0",Ip,"1,7",05:50,"10,2",15:40,25,"0,0","3,3",14:10,"948,6",24,"945,3",01,74,87,Varias,61,14:30
3,2017-01-04,3195,"MADRID, RETIRO",MADRID,667,"6,8","0,0","2,2",08:30,"11,5",14:30,23,"0,8","3,6",14:10,"950,4",10,"947,4",Varias,85,96,Varias,73,14:00
4,2017-01-05,3195,"MADRID, RETIRO",MADRID,667,"7,2","0,0","4,7",03:30,"9,8",Varias,28,"0,6","2,8",13:10,"947,7",12,"946,3",16,90,98,Varias,75,15:00
5,2017-01-06,3195,"MADRID, RETIRO",MADRID,667,"5,4","0,0","1,1",06:45,"9,8",Varias,,,,,"950,5",24,"947,4",00,60,98,Varias,31,15:00
6,2017-01-07,3195,"MADRID, RETIRO",MADRID,667,"5,0","0,0","-0,3",08:10,"10,4",14:10,04,"0,0","4,2",23:10,"952,0",11,"949,9",Varias,58,82,21:50,45,00:00
7,2017-01-08,3195,"MADRID, RETIRO",MADRID,667,"5,5","0,0","-0,5",08:10,"11,5",14:15,02,"0,6","5,6",20:40,"952,3",10,"948,1",Varias,63,79,Varias,45,14:30
8,2017-01-09,3195,"MADRID, RETIRO",MADRID,667,"5,4","0,0","-0,4",06:10,"11,2",14:50,26,"0,6","3,3",14:30,"949,2",11,"945,7",23,69,85,07:00,49,14:50
9,2017-01-10,3195,"MADRID, RETIRO",MADRID,667,"7,7","0,0","3,4",05:10,"12,0",13:20,08,"0,8","4,4",20:20,"946,0",00,"939,6",13,64,84,23:59,51,14:00
10,2017-01-11,3195,"MADRID, RETIRO",MADRID,667,"10,4","0,0","4,8",04:20,"16,0",14:40,03,"3,1","10,8",12:10,"948,1",23,"940,7",01,58,87,02:00,48,Varias
11,2017-01-12,3195,"MADRID, RETIRO",MADRID,667,"8,6","0,0","4,4",07:00,"12,7",14:30,30,"0,8","11,1",22:10,"948,7",01,"942,8",20,82,91,Varias,68,23:00
12,2017-01-13,3195,"MADRID, RETIRO",MADRID,667,"7,2","0,0","4,0",23:00,"10,5",13:30,32,"3,1","13,9",06:30,"946,8",24,"942,3",05,48,75,Varias,40,Varias
13,2017-01-14,3195,"MADRID, RETIRO",MADRID,667,"3,8","0,0","-0,5",08:00,"8,2",12:50,03,"2,2","18,3",14:30,"954,1",24,"946,9",00,57,80,08:00,42,Varias
14,2017-01-15,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","1,8",00:20,"11,4",14:05,01,"0,6","7,8",14:40,"950,7",10,"948,6",Varias,57,72,23:59,42,14:00
15,2017-01-16,3195,"MADRID, RETIRO",MADRID,667,"6,2","0,0","0,5",05:50,"11,8",14:00,01,"0,8","12,5",14:20,"948,4",00,"942,8",24,60,80,06:00,44,17:20
16,2017-01-17,3195,"MADRID, RETIRO",MADRID,667,"5,8","0,0","0,4",23:50,"11,2",10:20,04,"3,3","13,1",07:50,"944,0",00,"941,0",Varias,45,71,02:30,31,Varias
17,2017-01-18,3195,"MADRID, RETIRO",MADRID,667,"1,0","0,0","-3,0",07:45,"5,0",15:30,02,"1,1","12,5",01:50,"942,6",11,"939,9",16,34,46,23:59,25,15:20
18,2017-01-19,3195,"MADRID, RETIRO",MADRID,667,"2,1","0,0","-2,8",03:30,"7,0",15:20,05,"3,6","16,1",23:30,"942,4",02,"938,0",15,49,64,23:59,37,13:00
19,2017-01-20,3195,"MADRID, RETIRO",MADRID,667,"5,7","0,0","3,0",06:40,"8,4",13:40,03,"4,2","15,3",00:30,"939,8",22,"938,2",13,62,74,23:59,52,13:00
20,2017-01-21,3195,"MADRID, RETIRO",MADRID,667,"7,2","0,0","3,5",23:59,"11,0",15:00,04,"2,2","11,7",05:50,"941,3",11,"939,5",14,60,74,Varias,48,15:00
21,2017-01-22,3195,"MADRID, RETIRO",MADRID,667,"4,6","0,0","-0,4",06:40,"9,5",15:30,03,"0,6","8,9",19:10,"940,8",24,"938,2",15,58,83,07:10,40,Varias
22,2017-01-23,3195,"MADRID, RETIRO",MADRID,667,"7,3","0,0","3,2",02:50,"11,4",15:50,04,"1,1","6,4",05:30,"943,7",23,"940,2",01,58,70,00:00,42,14:40
23,2017-01-24,3195,"MADRID, RETIRO",MADRID,667,"6,7","0,0","0,4",08:10,"13,0",16:10,26,"0,8","5,0",17:00,"946,0",Varias,"943,2",02,59,80,08:20,41,15:30
24,2017-01-25,3195,"MADRID, RETIRO",MADRID,667,"5,2","0,0","-0,2",Varias,"10,5",15:10,23,"0,6","5,0",16:50,"944,0",Varias,"939,3",21,53,71,23:59,40,16:10
25,2017-01-26,3195,"MADRID, RETIRO",MADRID,667,"4,0","12,5","-0,3",06:00,"8,2",15:10,11,"0,6","5,3",22:40,"939,8",00,"933,5",24,71,84,04:20,62,16:20
26,2017-01-27,3195,"MADRID, RETIRO",MADRID,667,"5,1","7,5","3,2",10:10,"7,0",15:40,16,"0,8","8,9",04:30,"937,8",24,"930,2",04,93,97,Varias,68,00:00
27,2017-01-28,3195,"MADRID, RETIRO",MADRID,667,"6,4","0,0","2,6",07:45,"10,2",14:50,29,"1,1","10,8",01:20,"946,6",24,"937,5",00,73,97,23:59,60,Varias
28,2017-01-29,3195,"MADRID, RETIRO",MADRID,667,"7,0","1,5","4,9",03:10,"9,1",23:59,26,"0,3","6,4",21:20,"948,0",Varias,"946,0",16,94,95,Varias,86,00:00
29,2017-01-30,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,0","8,2",08:10,"11,5",15:00,25,"0,3","5,8",00:30,"946,8",00,"941,6",24,91,96,Varias,83,15:00
30,2017-01-31,3195,"MADRID, RETIRO",MADRID,667,"10,8","0,0","7,7",06:50,"13,8",15:50,09,"0,8","4,7",13:40,"942,1",00,"938,5",17,83,95,00:00,67,15:00
31,2017-02-01,3195,"MADRID, RETIRO",MADRID,667,"8,1","4,2","5,3",07:10,"10,9",15:10,24,"0,3","9,2",22:10,"941,3",11,"939,1",24,87,91,Varias,79,Varias
32,2017-02-02,3195,"MADRID, RETIRO",MADRID,667,"9,7","3,0","7,3",03:45,"12,1",16:10,23,"1,9","14,7",14:30,"940,1",22,"933,9",14,87,96,Varias,63,16:10
33,2017-02-03,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,2","6,5",03:20,"12,2",16:10,23,"3,6","26,1",11:50,"940,1",00,"937,5",24,78,89,04:30,64,16:10
34,2017-02-04,3195,"MADRID, RETIRO",MADRID,667,"11,6","3,7","9,0",04:10,"14,2",14:20,24,"5,0","16,9",11:40,"939,6",10,"936,0",20,86,94,Varias,64,15:00
35,2017-02-05,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","4,2",07:30,"10,9",00:00,25,"5,6","17,2",02:20,"947,8",22,"933,4",04,62,88,06:50,42,14:20
36,2017-02-06,3195,"MADRID, RETIRO",MADRID,667,"10,8","0,0","6,1",06:20,"15,4",14:30,31,"3,9","13,9",12:50,"948,9",11,"946,5",16,57,74,23:59,50,17:00
37,2017-02-07,3195,"MADRID, RETIRO",MADRID,667,"9,5","0,8","6,0",07:20,"13,0",16:10,28,"1,9","10,8",22:40,"948,0",00,"944,0",Varias,75,92,Varias,50,20:30
38,2017-02-08,3195,"MADRID, RETIRO",MADRID,667,"6,3","0,0","2,8",07:30,"9,8",13:10,27,"1,7","10,6",01:00,"950,3",11,"945,9",01,51,64,Varias,43,13:00
39,2017-02-09,3195,"MADRID, RETIRO",MADRID,667,"5,2","0,0","1,0",07:00,"9,5",13:30,04,"0,3","5,6",23:00,"947,9",00,"934,7",24,65,83,08:00,47,13:30
40,2017-02-10,3195,"MADRID, RETIRO",MADRID,667,"4,0","4,5","2,3",04:50,"5,8",15:50,05,"0,8","5,3",18:00,"936,2",11,"933,4",05,75,96,Varias,60,00:00
41,2017-02-11,3195,"MADRID, RETIRO",MADRID,667,"5,6","9,7","4,0",08:50,"7,3",16:20,04,"2,2","12,2",11:00,"935,6",Varias,"928,3",24,87,,,,
42,2017-02-12,3195,"MADRID, RETIRO",MADRID,667,"9,1","16,5","6,2",Varias,"12,0",18:10,12,"3,6","14,2",22:20,"928,5",00,"924,0",18,84,96,Varias,71,Varias
43,2017-02-13,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,7","6,0",23:59,"12,0",16:10,10,"3,1","13,1",03:40,"939,5",24,"923,7",00,76,96,03:00,55,16:20
44,2017-02-14,3195,"MADRID, RETIRO",MADRID,667,"7,8","0,0","3,8",05:15,"11,8",Varias,04,"0,3","5,0",23:00,"949,0",24,"939,6",00,72,94,05:30,55,14:40
45,2017-02-15,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","5,3",07:50,"14,0",13:30,04,"1,1","5,8",07:40,"953,0",12,"948,9",00,64,80,Varias,50,15:30
46,2017-02-16,3195,"MADRID, RETIRO",MADRID,667,"8,8","0,0","6,3",05:40,"11,3",16:05,04,"0,8","4,4",23:50,"953,9",Varias,"950,9",16,72,81,23:59,65,Varias
47,2017-02-17,3195,"MADRID, RETIRO",MADRID,667,"8,6","0,0","3,3",06:50,"14,0",16:10,04,"0,6","5,3",00:20,"951,7",00,"946,3",24,72,87,Varias,51,14:15
48,2017-02-18,3195,"MADRID, RETIRO",MADRID,667,"8,8","0,0","4,0",05:30,"13,6",15:10,17,"0,3","3,3",17:40,"947,2",00,"940,3",Varias,67,83,05:40,53,15:40
49,2017-02-19,3195,"MADRID, RETIRO",MADRID,667,"10,1","0,0","6,7",23:50,"13,5",16:15,02,"1,7","8,6",07:50,"948,3",24,"941,0",00,59,77,01:30,47,Varias
50,2017-02-20,3195,"MADRID, RETIRO",MADRID,667,"9,2","0,0","4,8",07:30,"13,6",16:10,04,"1,4","6,1",21:00,"948,6",10,"945,0",Varias,55,75,Varias,34,13:40
51,2017-02-21,3195,"MADRID, RETIRO",MADRID,667,"10,4","0,0","4,7",Varias,"16,0",16:50,03,"1,1","5,8",00:00,"947,2",11,"943,2",17,48,73,05:00,31,15:50
52,2017-02-22,3195,"MADRID, RETIRO",MADRID,667,"12,8","0,0","7,0",07:45,"18,5",15:00,03,"2,2","6,9",07:20,"945,7",00,"940,5",17,41,47,Varias,34,14:00
53,2017-02-23,3195,"MADRID, RETIRO",MADRID,667,"12,4","1,5","9,9",23:30,"15,0",13:20,32,"0,6","6,7",23:30,"941,2",00,"936,1",18,65,96,23:10,43,00:00
54,2017-02-24,3195,"MADRID, RETIRO",MADRID,667,"12,3","0,0","8,0",Varias,"16,6",16:10,03,"0,8","7,8",Varias,"941,2",24,"935,5",07,64,94,Varias,40,19:00
55,2017-02-25,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,0","3,4",06:40,"17,0",16:20,23,"1,1","5,6",14:30,"942,8",24,"940,7",03,62,84,07:00,40,14:00
56,2017-02-26,3195,"MADRID, RETIRO",MADRID,667,"10,3","0,0","6,4",07:05,"14,2",Varias,24,"1,1","7,2",20:50,"944,8",11,"941,4",24,71,90,09:30,59,Varias
57,2017-02-27,3195,"MADRID, RETIRO",MADRID,667,"10,1","0,0","7,2",03:10,"13,0",12:15,24,"2,2","10,8",19:40,"942,4",00,"937,8",23,71,90,Varias,55,13:00
58,2017-02-28,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","6,8",05:20,"12,4",13:30,23,"3,1","10,8",12:30,"941,1",24,"937,0",05,74,92,Varias,64,13:30
59,2017-03-01,3195,"MADRID, RETIRO",MADRID,667,"10,6","0,0","5,2",06:50,"16,0",16:10,26,"1,1","6,9",00:00,"944,2",11,"940,5",00,71,88,Varias,52,14:30
60,2017-03-02,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","5,8",07:10,"16,3",16:20,21,"0,8","5,0",16:20,"943,7",12,"937,8",24,71,97,08:30,43,17:00
61,2017-03-03,3195,"MADRID, RETIRO",MADRID,667,"8,0","2,1","3,9",23:59,"12,0",11:30,22,"2,2","13,9",15:30,"937,8",00,"924,9",15,79,92,19:00,65,12:00
62,2017-03-04,3195,"MADRID, RETIRO",MADRID,667,"5,3","0,0","1,0",06:10,"9,6",15:50,26,"1,4","12,5",02:30,"937,0",24,"928,5",00,69,90,00:00,55,15:50
63,2017-03-05,3195,"MADRID, RETIRO",MADRID,667,"8,6","0,0","4,8",00:10,"12,4",12:10,25,"1,1","8,3",16:30,"944,3",24,"937,0",00,85,91,Varias,76,14:00
64,2017-03-06,3195,"MADRID, RETIRO",MADRID,667,"14,1","0,0","9,4",05:15,"18,8",14:50,30,"1,9","15,3",15:30,"948,3",24,"944,4",05,66,93,Varias,43,15:30
65,2017-03-07,3195,"MADRID, RETIRO",MADRID,667,"14,2","0,0","8,9",06:30,"19,4",15:30,33,"1,9","10,6",17:10,"949,0",24,"947,2",Varias,49,65,03:40,39,14:30
66,2017-03-08,3195,"MADRID, RETIRO",MADRID,667,"14,7","0,0","7,8",06:50,"21,6",16:30,99,"1,1","3,3",Varias,"951,1",10,"948,5",03,58,77,Varias,42,14:00
67,2017-03-09,3195,"MADRID, RETIRO",MADRID,667,"16,8","0,0","8,8",06:50,"24,8",16:10,24,"0,8","5,0",17:00,"950,6",10,"947,1",16,51,79,07:00,27,14:30
68,2017-03-10,3195,"MADRID, RETIRO",MADRID,667,"18,0","0,0","9,8",07:00,"26,1",16:30,24,"0,8","6,1",16:30,"948,1",00,"943,6",Varias,42,60,07:30,27,16:50
69,2017-03-11,3195,"MADRID, RETIRO",MADRID,667,"16,1","0,0","9,6",06:45,"22,6",13:10,27,"0,8","8,3",15:40,"944,1",00,"939,9",18,53,70,07:30,41,13:30
70,2017-03-12,3195,"MADRID, RETIRO",MADRID,667,"13,1","0,0","7,2",23:59,"19,0",13:20,33,"3,1","17,8",14:30,"942,9",09,"939,5",15,57,79,07:00,40,13:00
